symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,reason
ENKAI,2025-01-03,2025-01-08,48.82288360595703,46.923946380615234,42,-79.75536346435547,-3.8894409446764056,Stop Loss
SAHOL,2025-01-06,2025-01-08,100.77007293701172,97.87715911865234,16,-46.28662109375,-2.870806514318638,Stop Loss
YKBNK,2025-01-06,2025-01-08,31.920000076293945,30.57999992370605,33,-44.220005035400504,-4.197995455467035,Stop Loss
TUPRS,2025-01-02,2025-01-09,138.10154724121094,137.62892150878906,80,-37.81005859375,-0.34223058456859823,Rotation
SISE,2025-01-02,2025-01-10,40.88475799560547,39.51146697998047,645,-885.772705078125,-3.3589315014964973,Stop Loss
KRDMD,2025-01-02,2025-01-13,27.799999237060547,26.13999938964844,1438,-2387.079780578606,-5.97122263657884,Stop Loss
TCELL,2025-01-06,2025-01-13,95.93994140625,92.7076644897461,15,-48.484153747558594,-3.369062841947222,Stop Loss
EREGL,2025-01-07,2025-01-13,23.85453224182129,22.883708953857425,60,-58.249397277831804,-4.069764513184775,Stop Loss
ISCTR,2025-01-08,2025-01-13,13.79608154296875,13.934042930603027,75,10.3471040725708,1.000004147587763,Stop Loss
ENKAI,2025-01-09,2025-01-13,47.733642578125,46.15280532836914,61,-96.43107223510742,-3.3117884250474385,Stop Loss
KOZAL,2025-01-10,2025-01-13,22.899999618530277,22.1200008392334,179,-139.61978149414153,-3.406108263275772,Stop Loss
MGROS,2025-01-03,2025-01-14,522.1886596679688,519.7232055664062,9,-22.1890869140625,-0.47213857595646513,Force Rotation
BIMAS,2025-01-08,2025-01-14,534.0,515.0,2,-38.0,-3.5580524344569286,Stop Loss
ASELS,2025-01-03,2025-01-16,74.8499984741211,80.25,24,129.60003662109375,7.214431043369923,TP Level 2
SISE,2025-01-13,2025-01-16,38.56978225708008,38.49131393432617,696,-54.61395263671875,-0.20344507581320914,Rotation
AKSEN,2025-01-08,2025-01-17,40.540000915527344,40.68000030517578,40,5.5999755859375,0.34533642448640384,Force Rotation
ASELS,2025-01-03,2025-01-20,74.8499984741211,82.3499984741211,49,367.5,10.020040284427095,TP Level 3
PETKM,2025-01-13,2025-01-20,17.670000076293945,18.049999237060547,679,258.01943016052246,2.150532875641625,Rotation
ASELS,2025-01-03,2025-01-21,74.8499984741211,80.6500015258789,26,150.80007934570312,7.748835230455117,Stop Loss
GARAN,2025-01-13,2025-01-22,122.85739135742188,132.88656616210938,8,80.2333984375,8.16326530612245,TP Level 2
SAHOL,2025-01-14,2025-01-22,91.56094360351562,98.45574188232422,48,330.9503173828125,7.530283117947091,TP Level 2
MGROS,2025-01-15,2025-01-22,525.6403198242188,559.6639404296875,3,102.07086181640625,6.472795050586437,TP Level 2
GARAN,2025-01-13,2025-01-22,122.85739135742188,132.88656616210938,26,260.758544921875,8.16326530612245,Rotation
EREGL,2025-01-14,2025-01-23,22.6063289642334,22.467639923095703,386,-53.53396987915039,-0.6134965184180154,Force Rotation
KRDMD,2025-01-14,2025-01-23,25.739999771118164,26.36000061035156,227,140.74019050598054,2.4087056905457818,Force Rotation
MGROS,2025-01-15,2025-01-23,525.6403198242188,550.2951049804688,9,221.89306640625,4.690428840103989,Stop Loss
ISCTR,2025-01-15,2025-01-23,13.98331356048584,14.298653602600098,220,69.37480926513672,2.25511672001226,Stop Loss
BIMAS,2025-01-16,2025-01-27,504.0,505.5,34,51.0,0.2976190476190476,Stop Loss
SISE,2025-01-17,2025-01-27,38.96215438842773,37.726192474365234,133,-164.3829345703116,-3.172211427891652,Stop Loss
AKSEN,2025-01-20,2025-01-27,40.2599983215332,41.5,220,272.8003692626953,3.0799844266351535,Stop Loss
AKBNK,2025-01-23,2025-01-27,66.66287231445312,64.55978393554688,115,-241.85516357421875,-3.154812125384944,Stop Loss
ASELS,2025-01-22,2025-01-28,82.0,89.6500015258789,18,137.7000274658203,9.329270153510862,TP Level 2
KOZAL,2025-01-23,2025-01-28,24.34000015258789,23.65999984741211,360,-244.80010986328125,-2.7937563718687235,Stop Loss
GARAN,2025-01-27,2025-01-28,129.02919006347656,130.6685791015625,190,311.4839172363281,1.27055671455384,Stop Loss
ASELS,2025-01-22,2025-01-29,82.0,88.19999694824219,54,334.7998352050781,7.560971888100229,Stop Loss
YKBNK,2025-01-21,2025-01-30,32.58000183105469,31.979999542236328,123,-73.8002815246582,-1.841627547873394,Force Rotation
SISE,2025-01-28,2025-01-30,39.040626525878906,37.76543045043945,483,-615.9197044372559,-3.266330970877638,Stop Loss
SAHOL,2025-01-14,2025-01-31,91.56094360351562,96.33426666259766,144,687.3585205078125,5.213274209745859,Stop Loss
GARAN,2025-01-29,2025-01-31,129.9935302734375,122.76095581054688,37,-267.6052551269531,-5.563795711738208,Stop Loss
THYAO,2025-01-23,2025-02-03,305.7076721191406,309.65545654296875,19,75.00790405273438,1.2913592898936443,Force Rotation
MGROS,2025-01-24,2025-02-03,551.7744140625,566.07421875,8,114.3984375,2.5916034384806124,Stop Loss
ULKER,2025-01-27,2025-02-03,107.54148864746094,110.13285064697266,22,57.00996398925781,2.4096393234862488,Stop Loss
AKSEN,2025-01-28,2025-02-03,41.2599983215332,39.13999938964844,306,-648.7196731567383,-5.1381459479564695,Stop Loss
PETKM,2025-01-30,2025-02-03,17.56999969482422,16.899999618530273,330,-221.10002517700195,-3.8133186564101895,Stop Loss
BIMAS,2025-01-31,2025-02-04,550.0,531.5,9,-166.5,-3.3636363636363638,Stop Loss
TCELL,2025-01-27,2025-02-05,103.92269897460938,103.726806640625,66,-12.92889404296875,-0.18849812015778752,Force Rotation
ASELS,2025-01-30,2025-02-05,88.80000305175781,86.19999694824219,146,-379.60089111328125,-2.9279347006330507,Stop Loss
TUPRS,2025-01-28,2025-02-06,132.52455139160156,132.3354949951172,64,-12.099609375,-0.14265763928204175,Force Rotation
KRDMD,2025-02-03,2025-02-07,26.700000762939453,28.86000061035156,11,23.759998321533146,8.089886837794628,TP Level 2
AKBNK,2025-01-31,2025-02-07,63.43487930297852,62.11433792114258,245,-323.5326385498065,-2.081727586378398,Rotation
KRDMD,2025-02-03,2025-02-10,26.700000762939453,28.399999618530277,35,59.499959945678825,6.367036730390218,Stop Loss
BIMAS,2025-02-05,2025-02-10,539.5,550.5,10,110.0,2.0389249304911954,Stop Loss
ASELS,2025-02-07,2025-02-10,85.69999694824219,81.55000305175781,138,-572.6991577148438,-4.842466796108207,Stop Loss
ENKAI,2025-02-03,2025-02-11,45.11176300048828,48.63009643554688,15,52.77500152587902,7.799148605698517,TP Level 2
SAHOL,2025-02-03,2025-02-11,92.7181167602539,93.63420104980467,263,240.93016815185183,0.9880315968016634,Rotation
KCHOL,2025-02-03,2025-02-12,154.68112182617188,151.91043090820312,87,-241.05010986328125,-1.7912275817875225,Force Rotation
SISE,2025-02-03,2025-02-12,36.21557235717773,36.03901290893555,167,-29.485427856444403,-0.4875235616901384,Force Rotation
AKSEN,2025-02-10,2025-02-12,40.09999847412109,37.93999862670898,301,-650.1599540710449,-5.386533490284508,Stop Loss
ENKAI,2025-02-03,2025-02-13,45.11176300048828,50.31697082519531,30,156.15623474121094,11.538471295503772,TP Level 3
MGROS,2025-02-04,2025-02-13,576.9223022460938,582.8394775390625,5,29.58587646484375,1.0256450946569062,Force Rotation
KOZAL,2025-02-12,2025-02-13,25.5,24.76000022888184,1017,-752.5797672271692,-2.901959886737884,Stop Loss
ULKER,2025-02-05,2025-02-14,113.83479309082033,113.9273452758789,108,9.995635986326306,0.08130395158248005,Force Rotation
TCELL,2025-02-06,2025-02-17,104.90217590332033,101.86579132080078,68,-206.47415161132903,-2.8944915168565517,Stop Loss
SAHOL,2025-02-12,2025-02-17,94.88780212402344,96.09318542480467,150,180.80749511718568,1.2703248192067271,Stop Loss
TUPRS,2025-02-13,2025-02-18,127.79827880859376,122.9774932861328,36,-173.54827880859557,-3.772183449889166,Stop Loss
ENKAI,2025-02-03,2025-02-19,45.11176300048828,49.73860931396485,16,74.02954101562511,10.256407654532342,Stop Loss
YKBNK,2025-02-10,2025-02-19,28.799999237060547,28.21999931335449,213,-123.53998374939056,-2.013888677329202,Force Rotation
GARAN,2025-02-10,2025-02-19,123.05025482177734,123.72530364990234,24,16.201171875,0.5485960424078133,Force Rotation
MGROS,2025-02-14,2025-02-19,574.949951171875,556.2122802734375,11,-206.1143798828125,-3.259009042482044,Stop Loss
KCHOL,2025-02-17,2025-02-19,150.9550323486328,143.31173706054688,96,-733.75634765625,-5.06329280261001,Stop Loss
BIMAS,2025-02-19,2025-02-20,555.0,535.0,19,-380.0,-3.6036036036036037,Stop Loss
AKBNK,2025-02-11,2025-02-21,61.82088470458984,63.3859748840332,169,264.50024032592955,2.53165283370196,Force Rotation
KRDMD,2025-02-12,2025-02-21,27.940000534057617,27.31999969482422,209,-129.58017539978027,-2.2190437630008093,Force Rotation
AKSEN,2025-02-13,2025-02-21,38.0,36.34000015258789,373,-619.1799430847168,-4.368420651084498,Stop Loss
KOZAL,2025-02-17,2025-02-21,25.239999771118164,23.239999771118164,233,-466.0,-7.923930341269561,Stop Loss
THYAO,2025-02-19,2025-02-21,314.09674072265625,305.2142028808594,81,-719.4855651855469,-2.8279624364647744,Stop Loss
SAHOL,2025-02-19,2025-02-24,95.75568389892578,93.24848175048828,60,-150.43212890625,-2.6183324543783315,Stop Loss
EREGL,2025-02-19,2025-02-24,22.586515426635746,21.912885665893555,106,-71.40475463867233,-2.982442169666402,Stop Loss
ISCTR,2025-02-20,2025-02-24,14.604137420654297,14.101567268371582,427,-214.59745502471924,-3.4412861082226014,Stop Loss
ASELS,2025-02-18,2025-02-25,84.0,81.0,133,-399.0,-3.571428571428571,Stop Loss
ENKAI,2025-02-21,2025-02-25,47.9842643737793,46.19135665893555,309,-554.0084838867188,-3.7364493094604434,Stop Loss
KRDMD,2025-02-24,2025-02-25,27.21999931335449,26.420000076293945,283,-226.39978408813386,-2.9390127011063276,Stop Loss
AKSEN,2025-02-24,2025-02-26,36.29999923706055,35.34000015258789,56,-53.75994873046875,-2.644625632643385,Stop Loss
TCELL,2025-02-19,2025-02-27,102.74732208251952,105.48986053466795,12,32.91046142578125,2.6692067457931614,Rotation
ASELS,2025-02-26,2025-02-28,86.0,93.4499969482422,7,52.149978637695426,8.662787149118842,TP Level 2
KOZAL,2025-02-25,2025-02-28,23.26000022888184,22.399999618530277,331,-284.6602020263672,-3.697337067450685,Stop Loss
GARAN,2025-02-21,2025-03-03,123.43599700927734,132.59725952148438,7,64.12883758544922,7.421872658037086,TP Level 2
ISCTR,2025-02-25,2025-03-03,14.288799285888672,15.63884449005127,329,444.16487216949463,9.44827607380471,TP Level 2
ASELS,2025-02-26,2025-03-03,86.0,98.0500030517578,15,180.75004577636696,14.011631455532322,TP Level 3
