period,return,sharpe,max_dd,win_rate,trades,rotations,avg_positions
30,9.309574219186775,4.05584680367387,3.675546813025744,47.05882352941176,44,13,9.866666666666667
60,5.912436577270535,1.7479973868006409,6.026253504521325,39.285714285714285,122,28,10.433333333333334
90,10.979839565570874,2.1866471224713897,5.547589705754781,45.78313253012048,176,42,10.666666666666666
120,0.57265111309239,0.16156497037543213,10.99554036639641,39.09090909090909,230,55,10.55
180,7.973611030826577,0.7551336254062019,10.966783420332147,42.61363636363637,362,85,10.9
