symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,reason
SAHOL,2025-01-06,2025-01-14,100.77007293701172,91.56094360351562,7,-64.46390533447266,-9.138754260158608,Stop Loss
AKSEN,2025-01-02,2025-01-28,39.5,41.2599983215332,1518,2671.6774520874023,4.455691953248615,Stop Loss
YKBNK,2025-01-03,2025-02-03,32.18000030517578,29.1200008392334,1219,-3730.1393489837646,-9.509010058804186,Stop Loss
ASELS,2025-01-14,2025-02-05,89.36538618038863,86.19999694824219,351,-1111.0516204833984,-3.5420752569198704,Stop Loss
ULKER,2025-02-05,2025-02-21,113.83479309082033,104.39484405517578,269,-2539.3462905883825,-8.29267465537809,Stop Loss
MGROS,2025-02-03,2025-03-10,566.07421875,514.2991333007812,62,-3210.0552978515625,-9.14634225235483,Stop Loss
ISCTR,2025-02-21,2025-03-11,14.270421038627624,15.520591735839844,2000,2500.3413944244385,8.760573313346661,Stop Loss
TCELL,2025-01-28,2025-03-19,106.6652374267578,96.28276824951172,294,-3052.445938110348,-9.733695276659608,Stop Loss
ASELS,2025-03-10,2025-03-19,112.44306427440004,112.3000030517578,418,-59.7995910644604,-0.12722992170787056,Stop Loss
ULKER,2025-03-11,2025-03-19,125.21827697753906,116.24105834960938,127,-1140.1067657470703,-7.169255834385877,Exit Signal
ENKAI,2025-03-19,2025-04-02,56.56824333926985,58.510345458984375,653,1268.192684173584,3.433202102576713,Stop Loss
KOZAL,2025-03-26,2025-04-02,26.299999237060547,27.940000534057617,12,19.680015563964844,6.235746557308141,Stop Loss
PETKM,2025-04-02,2025-04-10,16.719999313354492,16.059999465942383,1099,-725.3398323059082,-3.947367670553422,Exit Signal
KOZAL,2025-04-10,2025-04-16,27.917062115669257,28.3799991607666,640,296.27970886230105,1.6582584627968737,Stop Loss
ASELS,2025-03-20,2025-04-25,117.52433628318585,135.3000030517578,149,2648.5743485172243,15.125094368318617,TP Level 2
ENKAI,2025-04-03,2025-04-25,60.45036093781634,60.69628143310547,328,80.66192245483398,0.40681394035363955,Stop Loss
KOZAL,2025-04-25,2025-04-30,26.71999931335449,24.899999618530277,756,-1375.919769287102,-6.811376278421477,Exit Signal
ASELS,2025-03-20,2025-05-02,123.27762128640668,129.8000030517578,448,2922.0270308773033,5.290807607487735,Stop Loss
ENKAI,2025-04-30,2025-05-12,63.787391461824114,74.4773178100586,100,1068.9926348234476,16.758682402982807,TP Level 2
ENKAI,2025-04-30,2025-05-13,65.03686337265671,68.65644836425781,231,836.124133059855,5.565435975688331,Stop Loss
TUPRS,2025-04-16,2025-05-20,128.8827731990013,130.5,238,384.8999786376917,1.2548044714258495,Stop Loss
EREGL,2025-05-02,2025-05-21,23.32755166680575,24.013032913208008,2655,1819.952709197998,2.9385048898109347,Stop Loss
TCELL,2025-05-21,2025-06-19,95.35225677490234,86.78181457519531,622,-5330.815048217773,-8.988190200824755,Stop Loss
TUPRS,2025-06-19,2025-06-25,143.8000030517578,134.39999389648438,385,-3619.0035247802734,-6.536862973424347,Exit Signal
YKBNK,2025-05-20,2025-06-30,27.13089137332366,31.700000762939453,407,1859.6275215736277,16.840985158741788,TP Level 2
AKSEN,2025-05-13,2025-06-30,34.5,33.34000015258789,134,-155.43997955322266,-3.3623183982959692,End of Test
YKBNK,2025-05-20,2025-06-30,27.13089137332366,31.700000762939453,827,3778.653465212261,16.840985158741788,End of Test
AKBNK,2025-06-25,2025-06-30,61.68495285775367,68.19999694824219,947,6169.746753692627,10.561804441209995,End of Test
