datetime,open,high,low,close,volume,symbol
2025-04-07 09:30:00+03:00,298.5,299.75,295.0,299.5,0,THYAO
2025-04-07 10:30:00+03:00,299.5,302.5,298.25,301.5,4356343,THYAO
2025-04-07 11:30:00+03:00,301.5,302.0,299.0,300.0,2756967,THYAO
2025-04-07 12:30:00+03:00,300.0,301.25,299.5,300.25,1956935,THYAO
2025-04-07 13:30:00+03:00,300.25,302.25,299.75,301.0,2973166,THYAO
2025-04-07 14:30:00+03:00,301.0,304.75,300.5,304.5,2959178,THYAO
2025-04-07 15:30:00+03:00,304.5,307.75,303.75,304.75,5763592,THYAO
2025-04-07 16:30:00+03:00,304.75,314.0,303.0,310.75,16021480,THYAO
2025-04-07 17:30:00+03:00,310.5,311.25,306.25,309.75,5307111,THYAO
2025-04-08 09:30:00+03:00,314.0,314.75,311.0,311.5,0,THYAO
2025-04-08 10:30:00+03:00,311.5,312.25,310.5,311.25,2900686,THYAO
2025-04-08 11:30:00+03:00,311.0,311.25,309.25,309.75,2080649,THYAO
2025-04-08 12:30:00+03:00,310.0,310.75,309.25,310.25,1960926,THYAO
2025-04-08 13:30:00+03:00,310.25,311.0,309.5,309.75,1478261,THYAO
2025-04-08 14:30:00+03:00,310.0,312.25,309.5,311.25,2991307,THYAO
2025-04-08 15:30:00+03:00,311.5,311.5,309.75,311.25,2906897,THYAO
2025-04-08 16:30:00+03:00,311.5,312.0,310.5,310.75,4134396,THYAO
2025-04-08 17:30:00+03:00,310.75,311.0,309.25,309.25,2093616,THYAO
2025-04-09 09:30:00+03:00,307.0,310.0,306.5,309.5,0,THYAO
2025-04-09 10:30:00+03:00,309.25,310.75,307.5,307.75,5075483,THYAO
2025-04-09 11:30:00+03:00,307.75,309.0,307.5,308.75,2186560,THYAO
2025-04-09 12:30:00+03:00,309.0,309.75,308.0,308.75,2417497,THYAO
2025-04-09 13:30:00+03:00,308.75,309.25,306.5,307.25,2296473,THYAO
2025-04-09 14:30:00+03:00,307.0,308.0,305.5,307.5,2809364,THYAO
2025-04-09 15:30:00+03:00,307.75,309.75,307.0,308.0,3435162,THYAO
2025-04-09 16:30:00+03:00,308.0,310.25,307.75,308.75,4755960,THYAO
2025-04-09 17:30:00+03:00,308.75,309.75,306.25,306.5,2996122,THYAO
2025-04-10 09:30:00+03:00,314.75,315.25,312.25,312.75,0,THYAO
2025-04-10 10:30:00+03:00,312.75,313.0,311.25,311.75,3495730,THYAO
2025-04-10 11:30:00+03:00,312.0,312.5,311.5,311.75,1650507,THYAO
2025-04-10 12:30:00+03:00,311.75,312.25,311.5,311.75,972908,THYAO
2025-04-10 13:30:00+03:00,311.75,312.0,311.25,311.5,1464093,THYAO
2025-04-10 14:30:00+03:00,311.75,312.0,310.5,311.75,1950879,THYAO
2025-04-10 15:30:00+03:00,311.75,312.25,311.5,311.75,1807071,THYAO
2025-04-10 16:30:00+03:00,311.75,311.75,307.75,308.0,4541081,THYAO
