datetime,vixfix,bb_upper,bb_middle,bb_lower,range_high,range_low,high_volatility,market_bottom,vix_level,position_factor,buy_zone,sell_zone,vix_trend
2025-05-28 13:30:00+03:00,2.750195616158113,7.088395255559675,5.108570886161994,3.1287465167643127,5.363167293015427,0.7399225267102175,False,False,low,0.8060471717650199,False,True,1
2025-05-28 14:30:00+03:00,2.4483527337107884,7.267039899943235,4.963196707080336,2.659353514217436,5.363167293015427,0.7399225267102175,False,False,low,0.8273341232783232,False,True,1
2025-05-28 15:30:00+03:00,2.7543968254246356,7.297864125157032,4.81845123239465,2.339038339632268,5.363167293015427,0.7399225267102175,False,False,low,0.8057508886881137,False,True,1
2025-05-28 16:30:00+03:00,3.136953764233621,7.143498527012852,4.6598184916054235,2.176138456197995,5.363167293015427,0.7399225267102175,False,False,low,0.7787717168041262,False,True,1
2025-05-28 17:30:00+03:00,2.524865580805927,7.025724964822466,4.476783362211587,1.927841759600709,5.363167293015427,0.7399225267102175,False,False,low,0.8219381859845452,False,True,1
2025-05-29 09:30:00+03:00,1.3771947643789706,7.180017419507546,4.295274798149203,1.4105321767908596,5.363167293015427,0.7399225267102175,False,False,low,0.902875701636508,False,True,1
2025-05-29 10:30:00+03:00,0.9181322751415406,7.329809621360194,4.094495079042481,0.859180536724768,5.363167293015427,0.7399225267102175,False,False,low,0.9352502962293716,False,True,1
2025-05-29 11:30:00+03:00,1.0711506726651376,7.408246801306416,3.916093806350139,0.4239408113938623,5.363167293015427,0.7399225267102175,False,False,low,0.9244589362267165,False,True,1
2025-05-29 12:30:00+03:00,1.1476635197602625,7.43226979296421,3.745031919883376,0.057794046802543075,5.363167293015427,0.7399225267102175,False,False,low,0.9190629989329393,False,True,1
2025-05-29 13:30:00+03:00,0.5388737186882433,7.309443936111837,3.4845770241992873,-0.3402898877132623,5.363167293015427,0.5442624558751258,False,False,low,0.9619968553556603,False,True,1
2025-05-29 14:30:00+03:00,0.46188966127456604,7.027872839033472,3.198165180262772,-0.631542478507928,5.363167293015427,0.4665085578873117,False,False,low,0.9674260239488548,False,True,1
2025-05-29 15:30:00+03:00,0.5388737186882433,6.648523053731726,2.915602539196942,-0.8173179753378412,5.363167293015427,0.4665085578873117,False,False,low,0.9619968553556603,False,True,1
2025-05-29 16:30:00+03:00,1.0777474373764866,6.120772692376075,2.6562992526608094,-0.8081741870544565,5.363167293015427,0.4665085578873117,False,False,low,0.9239937107113205,False,True,1
2025-05-29 17:30:00+03:00,0.38461685180662697,5.689839739518172,2.3918161964280458,-0.9062073466620806,5.363167293015427,0.38846302032469326,False,False,low,0.9728755562853604,False,True,1
2025-05-30 09:30:00+03:00,0.9230760427621557,5.2037597523610195,2.167999410106797,-0.8677609321474256,5.363167293015427,0.38846302032469326,False,False,low,0.9349016454983031,False,True,-1
2025-05-30 10:30:00+03:00,2.2307689373309794,4.713478914842836,2.0216901259733637,-0.6700986628961085,5.363167293015427,0.38846302032469326,False,False,low,0.8426788472819636,False,False,-1
2025-05-30 11:30:00+03:00,2.3076937748835498,4.38122526525169,1.9188656629602587,-0.5434939393311724,5.363167293015427,0.38846302032469326,False,False,low,0.83725385506789,False,False,-1
2025-05-30 12:30:00+03:00,2.1538440997783956,3.991134394454406,1.808348716191896,-0.37443696207061405,5.363167293015427,0.38846302032469326,False,False,low,0.8481038394960383,False,False,-1
2025-05-30 13:30:00+03:00,2.3076937748835498,3.7091918696999375,1.7311351278596816,-0.24692161398057455,5.363167293015427,0.38846302032469326,False,False,low,0.83725385506789,False,False,-1
2025-05-30 14:30:00+03:00,2.1538440997783956,3.454372024780813,1.6603913934765095,-0.13358923782779386,5.363167293015427,0.38846302032469326,False,False,low,0.8481038394960383,False,False,-1
2025-05-30 15:30:00+03:00,2.2307689373309794,3.3762526091114298,1.6344200595351528,-0.10741249004112419,5.363167293015427,0.38846302032469326,False,False,low,0.8426788472819636,False,False,-1
2025-05-30 16:30:00+03:00,1.9230769230769231,3.313778467501451,1.6081562690034594,-0.09746592949453214,5.363167293015427,0.38846302032469326,False,False,low,0.8643782987825296,False,False,-1
2025-05-30 17:30:00+03:00,2.0769265981820917,3.2095119263182994,1.5742827576413323,-0.06094641103563481,5.363167293015427,0.38846302032469326,False,False,low,0.8535283143543801,False,False,-1
2025-06-02 09:30:00+03:00,2.3846186124361477,3.050655618011218,1.5366660000514585,0.022676382091699088,5.363167293015427,0.38846302032469326,False,False,low,0.8318288628538143,False,False,-1
2025-06-02 10:30:00+03:00,2.3846186124361477,3.025562700125387,1.5296536516329695,0.03374460314055239,5.363167293015427,0.38846302032469326,False,False,low,0.8318288628538143,False,False,-1
2025-06-02 11:30:00+03:00,1.2307680570162258,3.022809453276663,1.5223323162648323,0.021855179253001733,5.363167293015427,0.38846302032469326,False,False,low,0.9132021939977362,False,True,1
2025-06-02 12:30:00+03:00,1.30769289456881,3.019199566639588,1.5418103472361957,0.0644211278328033,5.363167293015427,0.38846302032469326,False,False,low,0.9077772017836615,False,True,1
2025-06-02 13:30:00+03:00,1.3846177321213804,3.0204295898264415,1.557483700209008,0.09453781059157462,5.363167293015427,0.38846302032469326,False,False,low,0.9023522095695878,False,True,1
2025-06-02 14:30:00+03:00,1.2307680570162258,3.020149048196048,1.5616389270718063,0.1031288059475648,5.363167293015427,0.38846302032469326,False,False,low,0.9132021939977362,False,True,1
2025-06-02 15:30:00+03:00,1.846152085524339,3.0076126384655364,1.627002845413611,0.24639305236168552,5.363167293015427,0.38846302032469326,False,False,low,0.8698032909966043,False,False,-1
2025-06-02 16:30:00+03:00,2.1538440997783956,2.9955774188709228,1.7116005673388024,0.427623715806682,5.363167293015427,0.38846302032469326,False,False,low,0.8481038394960383,False,False,-1
2025-06-02 17:30:00+03:00,1.6923097463754508,2.929072422113795,1.7692723687231626,0.6094723153325303,5.363167293015427,0.38846302032469326,False,False,low,0.8806527580690209,False,True,1
2025-06-03 09:30:00+03:00,3.6764704851130743,3.2917394716350623,1.8992085211099923,0.5066775705849225,5.363167293015427,0.38846302032469326,True,True,low,0.740723225533236,True,False,-1
2025-06-03 10:30:00+03:00,1.0263954530711492,3.2010381928145053,1.9312974511732182,0.6615567095319312,5.324241192884264,0.38846302032469326,False,False,low,0.9276152213169595,False,True,1
2025-06-03 11:30:00+03:00,0.8029172132021234,3.216079313858147,1.9252895096952165,0.6344997055322859,5.324241192884264,0.38846302032469326,False,False,low,0.9433756408365436,False,True,1
2025-06-03 12:30:00+03:00,0.4379523122460754,3.277307204231047,1.8356486784409713,0.39399015265089554,5.324241192884264,0.38846302032469326,False,False,low,0.9691141644277524,False,True,1
2025-06-03 13:30:00+03:00,0.4379523122460754,3.2932721481012033,1.7421616053090978,0.19105106251699233,5.324241192884264,0.38846302032469326,False,False,low,0.9691141644277524,False,True,1
2025-06-03 14:30:00+03:00,0.43763982093182263,3.29876683686415,1.6563513913667691,0.013935945869387956,5.324241192884264,0.38846302032469326,False,False,low,0.9691362023416529,False,True,1
2025-06-03 15:30:00+03:00,0.7988424596568767,3.2359173901858225,1.5809088256054356,-0.07409973897495137,5.324241192884264,0.38846302032469326,False,False,low,0.9436630058406247,False,True,1
2025-06-03 16:30:00+03:00,0.7988424596568767,3.1803072645670927,1.5131587435993594,-0.15398977736837383,5.324241192884264,0.38846302032469326,False,False,low,0.9436630058406247,False,True,1
2025-06-03 17:30:00+03:00,0.9440821359422871,3.098588696491662,1.448824403529925,-0.20093988943181218,5.324241192884264,0.38846302032469326,False,False,low,0.9334202268099316,False,True,1
2025-06-04 09:30:00+03:00,1.2345684142522846,3.0511781346148825,1.414398978088693,-0.22238017843749658,5.324241192884264,0.38846302032469326,False,False,low,0.9129341803226703,False,True,-1
2025-06-04 10:30:00+03:00,1.0167054369545678,2.9763497018218557,1.361387920027317,-0.25357386176722185,4.823136279992612,0.38846302032469326,False,False,low,0.9282985930816483,False,True,-1
2025-06-04 11:30:00+03:00,0.7988424596568767,2.8402494624664563,1.2820991123883532,-0.27605123768975015,4.589500003809064,0.38846302032469326,False,False,low,0.9436630058406247,False,True,-1
2025-06-04 12:30:00+03:00,0.9440821359422871,2.684567984708086,1.2100722885636603,-0.26442340758076566,4.383411426999699,0.38846302032469326,False,False,low,0.9334202268099316,False,True,-1
2025-06-04 13:30:00+03:00,0.5809794823591727,2.678555988707973,1.1775828598308076,-0.3233902690463579,3.7095555798738014,0.38846302032469326,False,False,low,0.9590274185996019,False,True,1
2025-06-04 14:30:00+03:00,0.726219158644583,2.661350109396883,1.1485091730345962,-0.3643317633276908,3.7095555798738014,0.38846302032469326,False,False,low,0.9487846395689088,False,True,1
2025-06-04 15:30:00+03:00,0.7988424596568767,2.635492117756896,1.1192204094113711,-0.3970512989341535,3.27417071029866,0.38846302032469326,False,False,low,0.9436630058406247,False,True,1
2025-06-04 16:30:00+03:00,0.5809794823591727,2.620682098581021,1.0867309806785186,-0.4472201372239837,3.124999912346113,0.38846302032469326,False,False,low,0.9590274185996019,False,True,1
2025-06-04 17:30:00+03:00,0.4354097757986382,2.5327528412097386,1.0161938651922333,-0.500365110825272,3.124999912346113,0.38846302032469326,False,False,low,0.9692934724493251,False,True,1
2025-06-05 09:30:00+03:00,0.6531215844115632,2.366472691002729,0.9411577394238918,-0.48415721215494545,3.124999912346113,0.38846302032469326,False,False,low,0.9539397206025322,False,True,1
2025-06-05 10:30:00+03:00,1.0885313602101887,2.2942521078997595,0.9109688201156285,-0.47231446766850227,3.124999912346113,0.38846302032469326,False,False,low,0.9232331930518581,False,False,-1
2025-06-05 11:30:00+03:00,1.0885313602101887,1.270965185094707,0.7815718638704843,0.29217854264626153,3.124999912346113,0.38846302032469326,False,False,low,0.9232331930518581,False,False,-1
2025-06-05 12:30:00+03:00,0.6531215844115632,1.24133693079295,0.762908170437505,0.28447941008205996,3.124999912346113,0.38846302032469326,False,False,low,0.9539397206025322,False,True,1
2025-06-10 09:30:00+03:00,0.8633085528945525,1.2461785560118597,0.7659277374221265,0.28567691883239343,3.124999912346113,0.38846302032469326,False,False,low,0.9391166451980411,False,False,-1
2025-06-10 10:30:00+03:00,2.048022351539982,1.5722159653432812,0.8464312393868217,0.12064651343036215,3.124999912346113,0.38846302032469326,True,True,low,0.8555667367674266,True,False,-1
2025-06-10 11:30:00+03:00,0.21186252326600413,1.5939892042909605,0.8351267499378183,0.07626429558467618,3.124999912346113,0.21398114849866418,False,False,low,0.985058758968628,False,True,1
2025-06-10 12:30:00+03:00,0.21171300500823714,1.613699120325105,0.8238304091416391,0.033961697958173054,3.124999912346113,0.21383013505831952,False,False,low,0.9850693034872784,False,True,1
2025-06-10 13:30:00+03:00,0.14094083636903987,1.637919054036321,0.7909353279772471,-0.05604839808182693,3.124999912346113,0.14235024473273028,False,False,low,0.9900603892803213,False,True,1
2025-06-10 14:30:00+03:00,0.21111705060280378,1.6472741493906735,0.7615490575245435,-0.12417603434158664,3.124999912346113,0.14235024473273028,False,False,low,0.9851113321494411,False,True,1
