datetime,vixfix,bb_upper,bb_middle,bb_lower,range_high,range_low,high_volatility,market_bottom,vix_level,position_factor,buy_zone,sell_zone,vix_trend
2025-05-30 13:30:00+03:00,3.9591391860693306,3.6849482393750663,1.5850178132376644,-0.5149126128997374,3.3652683081589307,0.31780995556801783,True,True,low,0.6917371766414838,True,False,-1
2025-05-30 14:30:00+03:00,4.916993554867037,4.3273186952130045,1.792406050332228,-0.7425065945485481,4.179444521636982,0.31780995556801783,True,True,low,0.6159238982897834,True,False,-1
2025-05-30 15:30:00+03:00,4.980844666507778,4.842078878771187,2.0190124840344703,-0.8040539107022466,4.233717966531612,0.31780995556801783,True,True,low,0.6108701424605325,True,False,-1
2025-05-30 16:30:00+03:00,3.8952783306300787,5.061354084547822,2.1656994774890506,-0.7299551295697206,4.233717966531612,0.31780995556801783,False,False,low,0.6967917036832831,False,False,-1
2025-05-30 17:30:00+03:00,4.086851153149322,5.294926915863307,2.2899138300183117,-0.7150992558266842,4.233717966531612,0.3869771014888719,False,False,low,0.6816288937704336,False,False,-1
2025-06-02 09:30:00+03:00,2.80971199475238,5.342630604006633,2.3342455836020846,-0.6741394368024634,4.233717966531612,0.3869771014888719,False,False,low,0.7827132649060338,False,False,1
2025-06-02 10:30:00+03:00,2.8735631063931204,5.392262144288344,2.4074110162216704,-0.5774401118450028,4.233717966531612,0.3869771014888719,False,False,low,0.7776595090767828,False,False,1
2025-06-02 11:30:00+03:00,2.6181391722331364,5.34819599324333,2.519160692581403,-0.3098746080805235,4.233717966531612,0.3869771014888719,False,False,low,0.7978760748188836,False,False,1
2025-06-02 12:30:00+03:00,2.6181391722331364,5.283262720385108,2.627717326169173,-0.027828068046761523,4.233717966531612,0.3869771014888719,False,False,low,0.7978760748188836,False,True,1
2025-06-02 13:30:00+03:00,2.237851749736337,5.202477180111568,2.7076814346960663,0.21288568928056417,4.233717966531612,0.3869771014888719,False,False,low,0.8279754690008914,False,True,1
2025-06-02 14:30:00+03:00,1.8613665587092671,5.151529228026234,2.749664001419682,0.3477987748131297,4.233717966531612,0.3869771014888719,False,False,low,0.8577739201145558,False,True,1
2025-06-02 15:30:00+03:00,2.0552325054353924,5.0884002135538555,2.8013398654796036,0.5142795174053516,4.233717966531612,0.3869771014888719,False,False,low,0.8424296115632339,False,True,1
2025-06-02 16:30:00+03:00,2.1836826995023007,5.026808284375267,2.8530526408888712,0.6792969974024756,4.233717966531612,0.3869771014888719,False,False,low,0.8322628987159064,False,True,1
2025-06-02 17:30:00+03:00,1.9961404009003572,4.975032007544226,2.8890027030140417,0.8029733984838572,4.233717966531612,0.3869771014888719,False,False,low,0.8471066964264847,False,True,1
2025-06-03 09:30:00+03:00,2.7215209188340586,4.943346632462091,2.945257551555936,0.9471684706497809,4.233717966531612,0.3869771014888719,False,False,low,0.7896935061666379,False,True,-1
2025-06-03 10:30:00+03:00,0.7547150617875393,5.027134413619129,2.915943303953503,0.804752194287877,4.233717966531612,0.3869771014888719,False,False,low,0.9453643521337385,False,True,1
2025-06-03 11:30:00+03:00,0.5624961853027344,5.176734486727071,2.8291253940869447,0.48151630144681823,4.233717966531612,0.3869771014888719,False,False,low,0.9605782966143439,False,True,1
2025-06-03 12:30:00+03:00,0.4978239371189753,5.2859293468249735,2.716724033977237,0.14751872112950037,4.233717966531612,0.3869771014888719,False,False,low,0.9656970446337738,False,True,1
2025-06-03 13:30:00+03:00,0.4978239371189753,5.329010983575893,2.5851653916156048,-0.15868020034468344,4.233717966531612,0.3869771014888719,False,False,low,0.9656970446337738,False,True,1
2025-06-03 14:30:00+03:00,0.4353214769634517,5.290157879339766,2.428131788412235,-0.4338943025152959,4.233717966531612,0.3869771014888719,False,False,low,0.9706440559580366,False,True,1
2025-06-03 15:30:00+03:00,0.5583088793564577,5.141149325003294,2.2580902730765917,-0.6249687788501102,4.233717966531612,0.3869771014888719,False,False,low,0.9609097179677248,False,True,1
2025-06-03 16:30:00+03:00,1.1786562856415077,4.702114522187145,2.0711734096153154,-0.5597677029565138,4.233717966531612,0.3869771014888719,False,False,low,0.9118098003607548,False,True,-1
2025-06-03 17:30:00+03:00,1.0545886975345413,4.154069904417902,1.8748606111666537,-0.4043486820845952,4.233717966531612,0.3869771014888719,False,False,low,0.9216296340410917,False,True,-1
2025-06-04 09:30:00+03:00,1.4888299887840326,3.829585864334646,1.7545381940743514,-0.32050947618594305,4.233717966531612,0.3869771014888719,False,False,low,0.8872598415572697,False,True,-1
2025-06-04 10:30:00+03:00,1.6749361038195913,3.394830046989992,1.6339424416078647,-0.1269451637742629,4.233717966531612,0.3869771014888719,False,False,low,0.8725297164341215,False,False,-1
