datetime,adx,plus_di,minus_di,dx,trend_strength,trend_direction,di_bullish_cross,di_bearish_cross
2025-04-07 09:30:00+03:00,0.0,0.0,0.0,0.0,weak,neutral,False,False
2025-04-07 10:30:00+03:00,0.0,0.0,0.0,0.0,weak,neutral,False,False
2025-04-07 11:30:00+03:00,0.0,0.0,0.0,0.0,weak,neutral,False,False
2025-04-07 12:30:00+03:00,7.142857142857142,3.651462666324936,0.0,100.0,weak,bullish,True,False
2025-04-07 13:30:00+03:00,13.775510204081632,6.666320894504192,0.0,100.0,weak,bullish,False,False
2025-04-07 14:30:00+03:00,19.934402332361515,7.229760647320648,0.0,100.0,weak,bullish,False,False
2025-04-07 15:30:00+03:00,25.653373594335694,10.286671973902802,0.0,100.00000000000001,strong,bullish,False,False
2025-04-07 16:30:00+03:00,30.963846909026003,19.689880935301264,0.0,100.0,strong,bullish,False,False
2025-04-07 17:30:00+03:00,35.89500070123843,18.082397086222628,0.0,100.0,strong,bullish,False,False
2025-04-08 09:30:00+03:00,40.47392922257855,23.817290585178803,0.0,100.0,very_strong,bullish,False,False
2025-04-08 10:30:00+03:00,43.13441525871405,22.566007575032543,2.8288994812361206,77.72073372847558,very_strong,bullish,False,False
2025-04-08 11:30:00+03:00,45.39098021083482,21.9917380725495,3.181043561076091,74.72632458840481,very_strong,bullish,False,False
2025-04-08 12:30:00+03:00,46.64181071932897,21.216462609463456,4.831570577035984,62.90260732975294,very_strong,bullish,False,False
2025-04-08 13:30:00+03:00,47.39420964965672,20.347410037955992,5.5439324862996395,57.17539574391749,very_strong,bullish,False,False
2025-04-08 14:30:00+03:00,48.14969535178856,19.957190051682943,5.309711916519638,57.97100947950242,very_strong,bullish,False,False
2025-04-08 15:30:00+03:00,49.22002204059634,21.94295087676414,4.958755321365898,63.13426899509752,very_strong,bullish,False,False
2025-04-08 16:30:00+03:00,50.35518865300261,22.44134629005608,4.741775581691059,65.11235461428411,very_strong,bullish,False,False
2025-04-08 17:30:00+03:00,50.56560515880701,21.011188162472894,6.400486200677741,53.30101973426418,very_strong,bullish,False,False
2025-04-09 09:30:00+03:00,48.306652668108555,19.37463155339515,13.204126686037423,18.94027028902867,very_strong,bullish,False,False
2025-04-09 10:30:00+03:00,46.2090539267457,18.688784203982387,12.736710556653422,18.940270289028668,very_strong,bullish,False,False
2025-04-09 11:30:00+03:00,43.58383385581628,18.09743372047217,14.970535501141029,9.455972933733724,very_strong,bullish,False,False
2025-04-09 12:30:00+03:00,41.014121502973445,17.50106737509351,15.02642127882995,7.607860916016545,very_strong,bullish,False,False
