datetime,supertrend,trend,up_band,dn_band,buy_signal,sell_signal
2025-04-07 09:30:00+03:00,18.199999809265147,1.0,18.199999809265147,22.76000118255614,False,False
2025-04-07 10:30:00+03:00,18.4239995956421,1.0,18.4239995956421,22.696001243591297,False,False
2025-04-07 11:30:00+03:00,18.60959922790528,1.0,18.60959922790528,22.550400619506828,False,False
2025-04-07 12:30:00+03:00,18.80263996887208,1.0,18.80263996887208,22.457360260009757,False,False
2025-04-07 13:30:00+03:00,19.01537609786988,1.0,19.01537609786988,22.457360260009757,False,False
2025-04-07 14:30:00+03:00,19.29083853385926,1.0,19.29083853385926,22.457360260009757,False,False
2025-04-07 15:30:00+03:00,19.570755267936715,1.0,19.570755267936715,22.457360260009757,False,False
2025-04-07 16:30:00+03:00,19.82368006539231,1.0,19.82368006539231,22.457360260009757,False,False
2025-04-07 17:30:00+03:00,19.82368006539231,1.0,19.82368006539231,22.457360260009757,False,False
2025-04-08 09:30:00+03:00,20.089881458360225,1.0,20.089881458360225,22.457360260009757,False,False
2025-04-08 10:30:00+03:00,20.220892988274933,1.0,20.220892988274933,22.457360260009757,False,False
2025-04-08 11:30:00+03:00,20.26380441423992,1.0,20.26380441423992,22.457360260009757,False,False
2025-04-08 12:30:00+03:00,20.296423225135264,1.0,20.296423225135264,22.457360260009757,False,False
2025-04-08 13:30:00+03:00,20.359780074832432,1.0,20.359780074832432,22.457360260009757,False,False
2025-04-08 14:30:00+03:00,20.5628019109466,1.0,20.5628019109466,22.457360260009757,False,False
2025-04-08 15:30:00+03:00,20.628522700229137,1.0,20.628522700229137,22.457360260009757,False,False
2025-04-08 16:30:00+03:00,20.78366931631462,1.0,20.78366931631462,22.457360260009757,False,False
2025-04-08 17:30:00+03:00,20.78366931631462,1.0,20.78366931631462,22.457360260009757,False,False
2025-04-09 09:30:00+03:00,20.78366931631462,1.0,20.78366931631462,22.366527454386354,False,False
2025-04-09 10:30:00+03:00,20.78366931631462,1.0,20.78366931631462,22.357875063714562,False,False
2025-04-09 11:30:00+03:00,20.78366931631462,1.0,20.78366931631462,22.212087805298424,False,False
2025-04-09 12:30:00+03:00,20.78366931631462,1.0,20.78366931631462,22.10987860133719,False,False
2025-04-09 13:30:00+03:00,20.78366931631462,1.0,20.78366931631462,21.937890298698587,False,False
2025-04-09 14:30:00+03:00,20.78366931631462,1.0,20.78366931631462,21.780101902068473,False,False
2025-04-09 15:30:00+03:00,20.78366931631462,1.0,20.78366931631462,21.780101902068473,False,False
2025-04-09 16:30:00+03:00,20.78366931631462,1.0,20.78366931631462,21.780101902068473,False,False
2025-04-09 17:30:00+03:00,20.78366931631462,1.0,20.78366931631462,21.780101902068473,False,False
2025-04-10 09:30:00+03:00,20.78366931631462,1.0,20.78366931631462,21.780101902068473,False,False
2025-04-10 10:30:00+03:00,20.78366931631462,1.0,20.78366931631462,21.780101902068473,False,False
2025-04-10 11:30:00+03:00,20.80853061729538,1.0,20.80853061729538,21.780101902068473,False,False
2025-04-10 12:30:00+03:00,20.866677685265547,1.0,20.866677685265547,21.780101902068473,False,False
2025-04-10 13:30:00+03:00,20.908009508566387,1.0,20.908009508566387,21.780101902068473,False,False
2025-04-10 14:30:00+03:00,20.971208744629912,1.0,20.971208744629912,21.780101902068473,False,False
2025-04-10 15:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-10 16:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-10 17:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-11 09:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-11 10:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-11 11:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-11 12:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-11 13:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-11 14:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-11 15:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-11 16:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-11 17:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-14 09:30:00+03:00,21.02208753828826,1.0,21.02208753828826,21.780101902068473,False,False
2025-04-14 10:30:00+03:00,21.089569542501366,1.0,21.089569542501366,21.780101902068473,False,False
2025-04-14 11:30:00+03:00,21.272611928308603,1.0,21.272611928308603,22.647388147985342,False,False
2025-04-14 12:30:00+03:00,21.272611928308603,1.0,21.272611928308603,22.526649481960003,False,False
2025-04-14 13:30:00+03:00,21.299016278766512,1.0,21.299016278766512,22.480984407878996,False,False
2025-04-14 14:30:00+03:00,21.299016278766512,1.0,21.299016278766512,22.387885032490264,False,False
2025-04-14 15:30:00+03:00,21.312902601007785,1.0,21.312902601007785,22.387885032490264,False,False
2025-04-14 16:30:00+03:00,21.312902601007785,1.0,21.312902601007785,22.324386556645482,False,False
2025-04-14 17:30:00+03:00,21.312902601007785,1.0,21.312902601007785,22.299948370188698,False,False
2025-04-15 09:30:00+03:00,21.312902601007785,1.0,21.312902601007785,22.299948370188698,False,False
2025-04-15 10:30:00+03:00,21.312902601007785,1.0,21.312902601007785,22.299948370188698,False,False
