datetime,adx,plus_di,minus_di,dx,trend_strength,trend_direction,di_bullish_cross,di_bearish_cross
2025-04-07 09:30:00+03:00,0.0,0.0,0.0,0.0,weak,neutral,False,False
2025-04-07 10:30:00+03:00,7.142857142857142,0.9049601926604808,0.0,100.0,weak,bullish,True,False
2025-04-07 11:30:00+03:00,13.775510204081632,0.8589198522438676,0.0,100.0,weak,bullish,False,False
2025-04-07 12:30:00+03:00,13.319920923359557,0.8181685563897668,0.9488818760496703,7.397260273972599,weak,bearish,False,True
2025-04-07 13:30:00+03:00,16.70643776776753,3.6245884552117134,0.8855370594830124,60.731156745071154,weak,bullish,True,False
2025-04-07 14:30:00+03:00,20.86859888086631,5.695002682668186,0.8144387447557746,74.97669335115042,strong,bullish,False,False
2025-04-07 15:30:00+03:00,25.899195403767127,15.395938992721035,0.700437846016566,91.29695020147777,strong,bullish,False,False
2025-04-07 16:30:00+03:00,30.861089035403776,23.9904561665674,0.5690805376642462,95.3657062466802,strong,bullish,False,False
2025-04-07 17:30:00+03:00,35.23822031382037,21.118072786904943,0.8637851378701521,92.1409269332361,strong,bullish,False,False
2025-04-08 09:30:00+03:00,39.44442185343846,25.282020406281987,0.7651295780167096,94.12504186847366,strong,bullish,False,False
2025-04-08 10:30:00+03:00,41.92590341987428,23.77552945702299,3.5236146728052753,74.18516378353988,very_strong,bullish,False,False
2025-04-08 11:30:00+03:00,44.06043409933126,23.07859443361203,3.7867615278242557,71.80933293227201,very_strong,bullish,False,False
2025-04-08 12:30:00+03:00,45.20289625618154,22.118517062089182,5.520145007633657,60.0549042952352,very_strong,bullish,False,False
2025-04-08 13:30:00+03:00,46.63019701660157,24.402334340316024,5.143106889787303,65.18510690206188,very_strong,bullish,False,False
2025-04-08 14:30:00+03:00,48.05461736854396,24.335439362037953,4.8836699605546,66.57208194379498,very_strong,bullish,False,False
2025-04-08 15:30:00+03:00,49.50649729713499,24.37711781062786,4.577606324214453,68.38093636881833,very_strong,bullish,False,False
2025-04-08 16:30:00+03:00,50.88709872218607,23.9893745426792,4.4281766768505175,68.83491724785003,very_strong,bullish,False,False
2025-04-08 17:30:00+03:00,51.985428143816534,23.17466144846807,4.702331506098772,66.26371062501251,very_strong,bullish,False,False
2025-04-09 09:30:00+03:00,49.7526612467021,20.883313146288607,13.712703479779886,20.726691584214308,very_strong,bullish,False,False
2025-04-09 10:30:00+03:00,47.67937769938155,20.25429556169777,13.299668844871178,20.72669158421431,very_strong,bullish,False,False
2025-04-09 11:30:00+03:00,44.89623450520225,19.35728734858907,16.253660427849137,8.71537298087144,very_strong,bullish,False,False
2025-04-09 12:30:00+03:00,42.311887253464334,18.994915304618374,15.949388861013372,8.71537298087144,very_strong,bullish,False,False
2025-04-09 13:30:00+03:00,40.33739054395606,17.25551541110319,23.188173112992153,14.668933320348449,very_strong,bearish,False,True
2025-04-09 14:30:00+03:00,38.98320286032404,16.29154290826337,25.151567183456162,21.37876297310769,strong,bearish,False,False
2025-04-09 15:30:00+03:00,37.725742868380024,15.66332358149293,24.18169584025773,21.378762973107698,strong,bearish,False,False
2025-04-09 16:30:00+03:00,35.92953331879101,17.505699900497337,22.54339971739014,12.578809174133772,strong,bearish,False,False
2025-04-09 17:30:00+03:00,34.57056321150374,16.08100826735224,22.623619976563354,16.90395181676915,strong,bearish,False,False
2025-04-10 09:30:00+03:00,34.40455338115544,14.116045764149492,27.55273964346855,32.24642558662752,strong,bearish,False,False
2025-04-10 10:30:00+03:00,34.567763434229,13.154380228009604,28.400745721583316,36.68949412418534,strong,bearish,False,False
2025-04-10 11:30:00+03:00,34.71931562636874,12.659047425326243,27.33130567707139,36.68949412418534,strong,bearish,False,False
2025-04-10 12:30:00+03:00,34.916640870696746,12.225262864394052,26.884232822791883,37.481869046960846,strong,bearish,False,False
2025-04-10 13:30:00+03:00,35.217107156851135,11.671486154113655,26.67310550344004,39.12316887685813,strong,bearish,False,False
2025-04-10 14:30:00+03:00,35.72881410958659,11.186424250343316,27.642521489959332,42.38100449514741,strong,bearish,False,False
2025-04-10 15:30:00+03:00,36.42823736240963,10.373907086860605,27.709969309566965,45.52073964910924,strong,bearish,False,False
2025-04-10 16:30:00+03:00,38.210777023726465,8.927396242450483,37.30912903201002,61.383792620845256,strong,bearish,False,False
2025-04-10 17:30:00+03:00,39.865992423520666,8.487888427610118,35.47235005086837,61.38379262084526,strong,bearish,False,False
2025-04-11 09:30:00+03:00,41.72605142022738,7.52976630172294,36.64191814285692,65.90681837741467,very_strong,bearish,False,False
2025-04-11 10:30:00+03:00,43.72601294206148,6.868735091160433,38.5076574401031,69.72551272590479,very_strong,bearish,False,False
2025-04-11 11:30:00+03:00,45.60657755550359,6.574317870855669,37.333381091083254,70.05391753025104,very_strong,bearish,False,False
2025-04-11 12:30:00+03:00,46.94155633409076,7.755051903642429,35.68609093877452,64.29628045572403,very_strong,bearish,False,False
2025-04-11 13:30:00+03:00,47.50887613661029,9.538786175738787,32.74684762711599,54.88403356936414,very_strong,bearish,False,False
2025-04-11 14:30:00+03:00,48.03567309609271,9.021031086245467,30.969383837548616,54.88403356936413,very_strong,bearish,False,False
2025-04-11 15:30:00+03:00,48.37977379428791,9.07038224333106,29.406713590866406,52.853082870825524,very_strong,bearish,False,False
2025-04-11 16:30:00+03:00,47.84640281938729,11.344476574065752,27.054480774335673,40.91258014567924,very_strong,bearish,False,False
2025-04-11 17:30:00+03:00,47.35112977126529,10.93245480635923,26.071884978024826,40.91258014567924,very_strong,bearish,False,False
