datetime,supertrend,trend,up_band,dn_band,buy_signal,sell_signal
2025-04-07 09:30:00+03:00,15.065000057220459,1.0,15.065000057220459,16.325000286102295,False,False
2025-04-07 10:30:00+03:00,15.245000171661378,1.0,15.245000171661378,16.325000286102295,False,False
2025-04-07 11:30:00+03:00,15.31949984550476,1.0,15.31949984550476,16.325000286102295,False,False
2025-04-07 12:30:00+03:00,15.370550473213196,1.0,15.370550473213196,16.325000286102295,False,False
2025-04-07 13:30:00+03:00,15.428995179843902,1.0,15.428995179843902,16.325000286102295,False,False
2025-04-07 14:30:00+03:00,15.454594940881728,1.0,15.454594940881728,16.325000286102295,False,False
2025-04-07 15:30:00+03:00,15.540636310822487,1.0,15.540636310822487,16.325000286102295,False,False
2025-04-07 16:30:00+03:00,15.695572027427005,1.0,15.695572027427005,16.325000286102295,False,False
2025-04-07 17:30:00+03:00,15.695572027427005,1.0,15.695572027427005,17.02098424834426,False,False
2025-04-08 09:30:00+03:00,15.897614077308038,1.0,15.897614077308038,17.02098424834426,False,False
2025-04-08 10:30:00+03:00,15.95935213170492,1.0,15.95935213170492,17.02098424834426,False,False
2025-04-08 11:30:00+03:00,15.985916575211673,1.0,15.985916575211673,17.02098424834426,False,False
2025-04-08 12:30:00+03:00,15.985916575211673,1.0,15.985916575211673,17.02098424834426,False,False
2025-04-08 13:30:00+03:00,15.9946924606352,1.0,15.9946924606352,17.02098424834426,False,False
2025-04-08 14:30:00+03:00,16.06922281021377,1.0,16.06922281021377,17.02098424834426,False,False
2025-04-08 15:30:00+03:00,16.10930084199757,1.0,16.10930084199757,17.02098424834426,False,False
2025-04-08 16:30:00+03:00,16.17687112400875,1.0,16.17687112400875,17.02098424834426,False,False
2025-04-08 17:30:00+03:00,16.17687112400875,1.0,16.17687112400875,17.02098424834426,False,False
2025-04-09 09:30:00+03:00,16.17687112400875,1.0,16.17687112400875,17.003234442958675,False,False
2025-04-09 10:30:00+03:00,16.17687112400875,1.0,16.17687112400875,16.98641119321237,False,False
2025-04-09 11:30:00+03:00,16.793768780708756,-1.0,16.17687112400875,16.793768780708756,False,True
2025-04-09 12:30:00+03:00,16.71289205904047,-1.0,15.617107864665584,16.71289205904047,False,False
2025-04-09 13:30:00+03:00,16.647102979021433,-1.0,15.617107864665584,16.647102979021433,False,False
2025-04-09 14:30:00+03:00,16.58489226150259,-1.0,15.617107864665584,16.58489226150259,False,False
2025-04-09 15:30:00+03:00,16.58489226150259,-1.0,15.617107864665584,16.58489226150259,False,False
2025-04-09 16:30:00+03:00,16.58489226150259,-1.0,15.641936597559123,16.58489226150259,False,False
2025-04-09 17:30:00+03:00,16.520757504701674,-1.0,15.641936597559123,16.520757504701674,False,False
2025-04-10 09:30:00+03:00,16.520757504701674,-1.0,15.858318386912293,16.520757504701674,False,False
2025-04-10 10:30:00+03:00,16.520757504701674,-1.0,15.858318386912293,16.520757504701674,False,False
2025-04-10 11:30:00+03:00,16.520757504701674,-1.0,15.860488328274446,16.520757504701674,False,False
2025-04-10 12:30:00+03:00,16.520757504701674,-1.0,15.896939724328837,16.520757504701674,False,False
2025-04-10 13:30:00+03:00,16.520757504701674,-1.0,15.934246083774616,16.520757504701674,False,False
2025-04-10 14:30:00+03:00,16.520757504701674,-1.0,15.980320186029479,16.520757504701674,False,False
2025-04-10 15:30:00+03:00,16.520757504701674,-1.0,16.01228837723488,16.520757504701674,False,False
2025-04-10 16:30:00+03:00,16.520757504701674,-1.0,16.01228837723488,16.520757504701674,False,False
2025-04-10 17:30:00+03:00,16.520757504701674,-1.0,16.01228837723488,16.520757504701674,False,False
2025-04-11 09:30:00+03:00,16.520757504701674,-1.0,16.01228837723488,16.520757504701674,False,False
2025-04-11 10:30:00+03:00,16.509431286663755,-1.0,16.01228837723488,16.509431286663755,False,False
2025-04-11 11:30:00+03:00,16.509431286663755,-1.0,16.01228837723488,16.509431286663755,False,False
2025-04-11 12:30:00+03:00,16.504987765201793,-1.0,16.01228837723488,16.504987765201793,False,False
2025-04-11 13:30:00+03:00,16.504987765201793,-1.0,16.01228837723488,16.504987765201793,False,False
2025-04-11 14:30:00+03:00,16.47373993989585,-1.0,16.01228837723488,16.47373993989585,False,False
2025-04-11 15:30:00+03:00,16.46086625871144,-1.0,16.01228837723488,16.46086625871144,False,False
2025-04-11 16:30:00+03:00,16.46086625871144,-1.0,16.01228837723488,16.46086625871144,False,False
2025-04-11 17:30:00+03:00,16.46086625871144,-1.0,16.01228837723488,16.46086625871144,False,False
2025-04-14 09:30:00+03:00,16.01228837723488,1.0,16.01228837723488,16.46086625871144,True,False
2025-04-14 10:30:00+03:00,16.105325774879578,1.0,16.105325774879578,17.034675522117492,False,False
2025-04-14 11:30:00+03:00,16.20979287314235,1.0,16.20979287314235,17.034675522117492,False,False
2025-04-14 12:30:00+03:00,16.219814295361807,1.0,16.219814295361807,17.034675522117492,False,False
2025-04-14 13:30:00+03:00,16.24833278190229,1.0,16.24833278190229,17.034675522117492,False,False
2025-04-14 14:30:00+03:00,16.24833278190229,1.0,16.24833278190229,17.034675522117492,False,False
2025-04-14 15:30:00+03:00,16.30704934505838,1.0,16.30704934505838,17.034675522117492,False,False
2025-04-14 16:30:00+03:00,16.30704934505838,1.0,16.30704934505838,17.034675522117492,False,False
2025-04-14 17:30:00+03:00,16.30704934505838,1.0,16.30704934505838,17.034675522117492,False,False
2025-04-15 09:30:00+03:00,16.52182898376277,1.0,16.52182898376277,17.034675522117492,False,False
