datetime,vixfix,bb_upper,bb_middle,bb_lower,range_high,range_low,high_volatility,market_bottom,vix_level,position_factor,buy_zone,sell_zone,vix_trend
2025-04-24 09:30:00+03:00,4.344828375454607,5.057181114734032,2.9759243125777344,0.8946675104214372,5.474575172036381,0.6290668187793969,False,False,low,1.007279684717171,False,False,-1
2025-04-24 10:30:00+03:00,4.827584891483702,5.28691017212357,3.1275864305167365,0.9682626889099026,5.474575172036381,0.6290668187793969,False,False,low,1.0019157234279588,False,False,-1
2025-04-24 11:30:00+03:00,5.724137404869343,5.582029656708158,3.362069294370454,1.1421089320327504,5.474575172036381,0.6290668187793969,True,True,low,0.9919540288347851,True,False,-1
2025-04-24 12:30:00+03:00,5.241380888840248,5.73099962382571,3.551724532554889,1.372449441284068,5.474575172036381,0.6290668187793969,False,False,low,0.9973179901239972,False,False,-1
2025-04-24 13:30:00+03:00,4.4568203687306,5.700658283481124,3.6952553640133745,1.6898524445456253,5.474575172036381,0.6290668187793969,False,False,low,1.0060353292363267,False,False,-1
2025-04-24 14:30:00+03:00,4.4568203687306,5.5384304366405885,3.8525792857660077,2.1667281348914273,5.474575172036381,0.6290668187793969,False,False,low,1.0060353292363267,False,False,-1
2025-04-24 15:30:00+03:00,3.972129849101479,5.409665829228808,3.9477374365883713,2.485809043947935,5.474575172036381,0.6290668187793969,False,False,low,1.011420779454428,False,False,1
2025-04-24 16:30:00+03:00,3.3707833564005543,5.407500516057078,3.923173011437123,2.4388455068171684,5.474575172036381,0.6290668187793969,False,False,low,1.018102407151105,False,True,1
2025-04-24 17:30:00+03:00,3.7402944962425773,5.391548181051138,3.9067394077706687,2.4219306344901996,5.474575172036381,0.6290668187793969,False,False,low,1.013996727819527,False,True,1
2025-04-25 09:30:00+03:00,3.4580082461532458,5.3914084025931,3.9072260269748833,2.4230436513566658,5.474575172036381,0.6290668187793969,False,False,low,1.0171332417094083,False,True,1
2025-04-25 10:30:00+03:00,3.5285814912343403,5.387151717517207,3.8939998633521653,2.400848009187124,5.474575172036381,0.6290668187793969,False,False,low,1.0163490945418407,False,True,1
2025-04-25 11:30:00+03:00,3.7402944962425773,5.389057935947192,3.9086007950608455,2.428143654174499,5.474575172036381,0.6290668187793969,False,False,low,1.013996727819527,False,True,1
2025-04-25 12:30:00+03:00,3.6697279813965533,5.381952056453914,3.9300181365345326,2.4780842166151515,5.474575172036381,0.6290668187793969,False,False,low,1.014780800206705,False,True,1
2025-04-25 13:30:00+03:00,3.5991547363154464,5.326608397017788,3.972044970408831,2.617481543799874,5.474575172036381,0.6290668187793969,False,False,low,1.0155649473742727,False,True,1
2025-04-25 14:30:00+03:00,4.664310001449046,5.379940654707182,4.046639767671982,2.7133388806367815,5.474575172036381,0.6290668187793969,False,False,low,1.0037298888727884,False,False,-1
2025-04-25 15:30:00+03:00,4.664310001449046,5.41494336732001,4.121234564935133,2.827525762550256,5.474575172036381,0.6290668187793969,False,False,low,1.0037298888727884,False,False,-1
2025-04-25 16:30:00+03:00,4.765292007809276,5.484835324922383,4.166395572354321,2.8479558197862587,5.474575172036381,0.6290668187793969,False,False,low,1.002607866579897,False,False,-1
2025-04-25 17:30:00+03:00,4.918029889635476,5.562529245119608,4.232986564158966,2.9034438831983245,5.474575172036381,0.6290668187793969,False,False,low,1.0009107790040503,False,False,-1
2025-04-28 09:30:00+03:00,6.272274634281527,5.947951371710511,4.360393412475448,2.7728354532403845,5.474575172036381,0.6290668187793969,True,True,low,0.9858636151746497,True,False,-1
2025-04-28 10:30:00+03:00,5.722455388096356,6.131369074082043,4.45686094369583,2.7823528133096165,5.331433439139298,0.6290668187793969,True,False,low,0.9919727179100405,True,False,-1
2025-04-28 11:30:00+03:00,5.650929812023827,6.278169081209078,4.5221660155242915,2.7661629498395053,5.331433439139298,0.6290668187793969,True,False,low,0.9927674465330686,True,False,-1
2025-04-28 12:30:00+03:00,4.881552694030603,6.283008140300748,4.524864405651636,2.766720671002524,5.331433439139298,0.6290668187793969,False,False,low,1.0013160811774378,False,False,-1
2025-04-28 13:30:00+03:00,5.331410410784227,6.2150836126450315,4.505228055947381,2.7953724992497304,5.331433439139298,0.6290668187793969,False,False,low,0.9963176621023975,False,False,-1
2025-04-28 14:30:00+03:00,6.051874248285833,6.364050197947741,4.54575272391966,2.7274552498915785,5.331433439139298,0.6290668187793969,True,True,low,0.9883125083523796,True,False,-1
2025-04-28 15:30:00+03:00,6.340058409115984,6.626118185049464,4.639914625938929,2.653711066828395,5.389049647748586,0.6290668187793969,True,True,low,0.9851104621209336,True,False,-1
2025-04-28 16:30:00+03:00,6.26801065119535,6.842690456487779,4.730474140062166,2.6182578236365535,5.389049647748586,0.6290668187793969,True,False,low,0.9859109927644961,True,False,-1
2025-04-28 17:30:00+03:00,6.26801065119535,7.032181574432758,4.84526818016686,2.658354785900962,5.389049647748586,0.9061429790153598,True,False,low,0.9859109927644961,True,False,-1
2025-04-29 09:30:00+03:00,5.979826490365188,7.1027427271449675,4.975720336865092,2.8486979465852174,5.389049647748586,1.0448249290729392,True,False,low,0.9891130389959424,True,False,-1
2025-04-29 10:30:00+03:00,5.813954777818146,7.15438828703247,5.07940335094387,3.0044184148552695,5.389049647748586,1.0448249290729392,True,False,low,0.9909560580242428,True,False,1
2025-04-29 11:30:00+03:00,6.1090920188210225,7.187137542681835,5.211957539577259,3.2367775364726836,5.389049647748586,1.0448249290729392,True,True,low,0.9876767553464331,True,False,-1
2025-04-29 12:30:00+03:00,6.618180708451704,7.269220709958111,5.366437500438127,3.463654290918143,5.625453602183948,1.0448249290729392,True,True,low,0.9820202143505367,True,False,-1
2025-04-29 13:30:00+03:00,6.0539746272548856,7.244803922768638,5.482121506988743,3.719439091208848,5.625453602183948,1.0448249290729392,True,False,low,0.988289170808279,True,False,1
2025-04-29 14:30:00+03:00,6.345732189193123,7.196160697478206,5.615921717378571,4.035682737278936,5.625453602183948,1.3234453530147159,True,True,low,0.9850474201200764,True,False,-1
