datetime,squeeze_on,squeeze_off,no_squeeze,momentum,momentum_hist,momentum_color,squeeze_release,squeeze_start,bb_upper,bb_lower,kc_upper,kc_lower
2025-04-07 09:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-07 10:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-07 11:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-07 12:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-07 13:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-07 14:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-07 15:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-07 16:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-07 17:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-08 09:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-08 10:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-08 11:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-08 12:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-08 13:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-08 14:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-08 15:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-08 16:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-08 17:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-09 09:30:00+03:00,False,False,True,,,gray,False,False,,,,
2025-04-09 10:30:00+03:00,False,True,False,,,gray,False,False,12.208565265842054,11.56743475704613,12.107750034332275,11.668249988555909
2025-04-09 11:30:00+03:00,False,True,False,,,gray,False,False,12.204099018838983,11.584901015493292,12.097000074386596,11.69199995994568
2025-04-09 12:30:00+03:00,False,True,False,,,gray,False,False,12.192306553676483,11.611693442508821,12.100000095367433,11.703999900817871
2025-04-09 13:30:00+03:00,False,True,False,,,gray,False,False,12.2016827999196,11.596317154304034,12.111250042915346,11.686749911308288
2025-04-09 14:30:00+03:00,False,True,False,,,gray,False,False,12.238790959683476,11.536208944949093,12.107999992370607,11.666999912261963
2025-04-09 15:30:00+03:00,False,True,False,,,gray,False,False,12.264383749841926,11.488616128087763,12.093999910354615,11.658999967575074
2025-04-09 16:30:00+03:00,False,True,False,,,gray,False,False,12.286344520003837,11.44165535792585,12.080749893188477,11.64724998474121
2025-04-09 17:30:00+03:00,False,True,False,,,gray,False,False,12.312170171264242,11.381829691406658,12.059249925613404,11.634749937057496
2025-04-10 09:30:00+03:00,False,True,False,,,gray,False,False,12.299236642845763,11.371763170234072,12.053749823570252,11.617249989509583
2025-04-10 10:30:00+03:00,False,True,False,,,gray,False,False,12.288236677178038,11.360763204566346,12.03149995803833,11.617499923706054
2025-04-10 11:30:00+03:00,False,True,False,,,gray,False,False,12.2543336809033,11.356666189396993,11.990749883651734,11.62024998664856
2025-04-10 12:30:00+03:00,False,True,False,,,gray,False,False,12.2335182315563,11.349481665446874,11.969249868392945,11.613750028610228
2025-04-10 13:30:00+03:00,False,True,False,,,gray,False,False,12.211895963383663,11.341104009913456,11.953499960899354,11.599500012397765
2025-04-10 14:30:00+03:00,False,True,False,,,gray,False,False,12.187955677067379,11.335044372523686,11.941499996185303,11.581500053405762
2025-04-10 15:30:00+03:00,False,True,False,,,gray,False,False,12.163066404679626,11.329933625837953,11.927249932289124,11.565750098228454
2025-04-10 16:30:00+03:00,False,True,False,,,gray,False,False,12.118853234774672,11.31314683007518,11.903499960899353,11.528500103950499
2025-04-10 17:30:00+03:00,False,True,False,,,gray,False,False,12.06672731185063,11.29327272629634,11.874250030517578,11.485750007629393
2025-04-11 09:30:00+03:00,False,True,False,,,gray,False,False,12.025178925776114,11.255821116185555,11.839250063896179,11.44174997806549
2025-04-11 10:30:00+03:00,False,True,False,,,gray,False,False,11.990846223951158,11.212153844713393,11.804000091552734,11.398999977111817
2025-04-11 11:30:00+03:00,False,True,False,-0.25059246880667607,-0.25059246880667607,gray,False,False,11.959601676685523,11.180398475902368,11.77100009918213,11.369000053405761
2025-04-11 12:30:00+03:00,False,True,False,-0.2231710287502838,-0.2231710287502838,maroon,False,False,11.921872248415676,11.170127854581152,11.754500102996827,11.3375
2025-04-11 13:30:00+03:00,False,True,False,-0.19244967460632365,-0.19244967460632365,maroon,False,False,11.880647477872722,11.168352594606526,11.746500039100647,11.302500033378601
2025-04-11 14:30:00+03:00,False,True,False,-0.14923546859196285,-0.14923546859196285,maroon,False,False,11.842775805532577,11.175224224985,11.734750032424927,11.28324999809265
2025-04-11 15:30:00+03:00,False,True,False,-0.13707831927708272,-0.13707831927708272,maroon,False,False,11.83528002713891,11.166720018637456,11.71550006866455,11.286499977111816
2025-04-11 16:30:00+03:00,False,True,False,-0.1432211729458405,-0.1432211729458405,red,False,False,11.835473809813772,11.159526266480173,11.71200008392334,11.282999992370605
2025-04-11 17:30:00+03:00,False,True,False,-0.12385685716356594,-0.12385685716356594,maroon,False,False,11.837511227294119,11.161488940552562,11.717750144004823,11.281250023841858
2025-04-14 09:30:00+03:00,False,True,False,-0.09490328890936724,-0.09490328890936724,maroon,False,False,11.846302525976444,11.164697725793577,11.725250148773194,11.285750102996827
2025-04-14 10:30:00+03:00,False,True,False,-0.07466048615319412,-0.07466048615319412,maroon,False,False,11.857474184575187,11.173526048121348,11.73375017642975,11.297250056266785
2025-04-14 11:30:00+03:00,False,True,False,-0.031135632310594463,-0.031135632310594463,maroon,False,False,11.833583658265564,11.180416566801576,11.693000221252442,11.321000003814698
2025-04-14 12:30:00+03:00,False,True,False,0.010539305550712114,0.010539305550712114,lime,False,False,11.812076720959647,11.186923446887034,11.684000158309937,11.315000009536744
2025-04-14 13:30:00+03:00,False,True,False,0.04983575514384753,0.04983575514384753,lime,False,False,11.789230016537966,11.193770166567502,11.677500200271606,11.305499982833862
2025-04-14 14:30:00+03:00,False,True,False,0.07576422555106099,0.07576422555106099,lime,False,False,11.759397835903087,11.200602297611319,11.672750186920167,11.287249946594239
2025-04-14 15:30:00+03:00,False,True,False,0.10106420006070871,0.10106420006070871,lime,False,False,11.733716851723562,11.207283228385082,11.664750123023989,11.276249957084655
2025-04-14 16:30:00+03:00,False,True,False,0.11729271786553541,0.11729271786553541,lime,False,False,11.702697756638273,11.214302250991121,11.652750086784364,11.26424992084503
2025-04-14 17:30:00+03:00,False,True,False,0.13393560511725278,0.13393560511725278,lime,False,False,11.66961411609244,11.223385914425137,11.640000152587891,11.252999877929685
2025-04-15 09:30:00+03:00,False,True,False,0.12035343170165996,0.12035343170165996,green,False,False,11.666867316775468,11.216132675595139,11.626000142097475,11.256999850273132
2025-04-15 10:30:00+03:00,False,True,False,0.09516764334269928,0.09516764334269928,green,False,False,11.667189934360227,11.21381001223401,11.616750073432922,11.264249873161315
2025-04-15 11:30:00+03:00,False,True,False,0.07783908435276563,0.07783908435276563,green,False,False,11.661505294022831,11.237494587721553,11.62425000667572,11.274749875068665
2025-04-15 12:30:00+03:00,False,True,False,0.05900699274880561,0.05900699274880561,green,False,False,11.64445105585909,11.279548825885296,11.63525004386902,11.288749837875367
2025-04-15 13:30:00+03:00,True,False,False,0.03409629208701026,0.03409629208701026,green,False,True,11.629798130482534,11.312201686411996,11.6375,11.30449981689453
2025-04-15 14:30:00+03:00,True,False,False,0.0026213383674623496,0.0026213383674623496,green,False,False,11.628353162860018,11.315646699810882,11.633250045776368,11.310749816894532
2025-04-15 15:30:00+03:00,False,True,False,-0.029418016161237275,-0.029418016161237275,red,True,False,11.630299191694041,11.310700697679737,11.619750070571898,11.32124981880188
2025-04-15 16:30:00+03:00,False,True,False,-0.06858227593558143,-0.06858227593558143,red,False,False,11.64479913969033,11.274200818348001,11.611750102043152,11.30724985599518
2025-04-15 17:30:00+03:00,False,True,False,-0.10853930779865817,-0.10853930779865817,red,False,False,11.655298990739663,11.248701005445639,11.60125012397766,11.302749872207642
2025-04-16 09:30:00+03:00,False,True,False,-0.1609072096007211,-0.1609072096007211,red,False,False,11.673797177190472,11.212202788477253,11.586250114440919,11.299749851226807
2025-04-16 10:30:00+03:00,False,True,False,-0.20306072201047623,-0.20306072201047623,red,False,False,11.690039078811576,11.156960852523873,11.565250062942505,11.281749868392945
2025-04-16 11:30:00+03:00,False,True,False,-0.23510360377175457,-0.23510360377175457,red,False,False,11.686486215018673,11.111513643837528,11.53700008392334,11.260999774932861
2025-04-16 12:30:00+03:00,False,True,False,-0.25905355453491213,-0.25905355453491213,red,False,False,11.671682909696399,11.073316975862683,11.506750011444092,11.23824987411499
2025-04-16 13:30:00+03:00,False,True,False,-0.2757642817497251,-0.2757642817497251,red,False,False,11.657813170217086,11.039186761118362,11.482749962806702,11.214249968528746
2025-04-16 14:30:00+03:00,False,True,False,-0.28162136418478756,-0.28162136418478756,red,False,False,11.634872494497268,11.015127505502731,11.458499979972839,11.19150002002716
2025-04-16 15:30:00+03:00,False,True,False,-0.281056945664541,-0.281056945664541,maroon,False,False,11.608913670290827,10.99608634878266,11.438249969482422,11.166750049591064
