datetime,supertrend,trend,up_band,dn_band,buy_signal,sell_signal
2024-10-15 08:00:00+03:00,245.625,1.0,245.625,274.125,False,False
2024-10-15 12:00:00+03:00,248.875,1.0,248.875,274.125,False,False
2024-10-15 16:00:00+03:00,250.1875,1.0,250.1875,274.125,False,False
2024-10-16 08:00:00+03:00,251.53125,1.0,251.53125,274.125,False,False
2024-10-16 12:00:00+03:00,251.53125,1.0,251.53125,274.125,False,False
2024-10-16 16:00:00+03:00,252.6340625,1.0,252.6340625,274.125,False,False
2024-10-17 08:00:00+03:00,257.23315625,1.0,257.23315625,274.125,False,False
2024-10-17 12:00:00+03:00,257.359840625,1.0,257.359840625,274.125,False,False
2024-10-17 16:00:00+03:00,258.6238565625,1.0,258.6238565625,287.3761434375,False,False
2024-10-18 08:00:00+03:00,259.66147090625,1.0,259.66147090625,287.33852909375,False,False
2024-10-18 12:00:00+03:00,259.66147090625,1.0,259.66147090625,284.254676184375,False,False
2024-10-18 16:00:00+03:00,259.66147090625,1.0,259.66147090625,281.30420856593753,False,False
2024-10-21 08:00:00+03:00,259.66147090625,1.0,259.66147090625,281.30420856593753,False,False
2024-10-21 12:00:00+03:00,259.66147090625,1.0,259.66147090625,281.30420856593753,False,False
2024-10-21 16:00:00+03:00,259.66147090625,1.0,259.66147090625,281.30420856593753,False,False
2024-10-22 08:00:00+03:00,259.66147090625,1.0,259.66147090625,281.30420856593753,False,False
2024-10-22 12:00:00+03:00,259.8463878838996,1.0,259.8463878838996,281.30420856593753,False,False
2024-10-22 16:00:00+03:00,261.26174909550963,1.0,261.26174909550963,281.30420856593753,False,False
2024-10-23 08:00:00+03:00,261.26174909550963,1.0,261.26174909550963,281.30420856593753,False,False
2024-10-23 12:00:00+03:00,261.26174909550963,1.0,261.26174909550963,281.30420856593753,False,False
2024-10-23 16:00:00+03:00,261.26174909550963,1.0,261.26174909550963,281.30420856593753,False,False
2024-10-24 08:00:00+03:00,261.26174909550963,1.0,261.26174909550963,281.30420856593753,False,False
2024-10-24 12:00:00+03:00,261.26174909550963,1.0,261.26174909550963,281.30420856593753,False,False
2024-10-24 16:00:00+03:00,261.26174909550963,1.0,261.26174909550963,281.30420856593753,False,False
2024-10-25 08:00:00+03:00,262.11351045596007,1.0,262.11351045596007,281.30420856593753,False,False
2024-10-25 12:00:00+03:00,262.11351045596007,1.0,262.11351045596007,281.30420856593753,False,False
2024-10-25 16:00:00+03:00,262.87819346932764,1.0,262.87819346932764,281.30420856593753,False,False
2024-10-28 08:00:00+03:00,266.3528741223949,1.0,266.3528741223949,281.30420856593753,False,False
2024-10-28 12:00:00+03:00,267.3300867101554,1.0,267.3300867101554,281.30420856593753,False,False
2024-10-30 08:00:00+03:00,267.44707803913985,1.0,267.44707803913985,281.30420856593753,False,False
2024-10-30 12:00:00+03:00,268.31487023522584,1.0,268.31487023522584,281.30420856593753,False,False
2024-10-30 16:00:00+03:00,269.9458832117033,1.0,269.9458832117033,281.30420856593753,False,False
2024-10-31 08:00:00+03:00,269.9458832117033,1.0,269.9458832117033,281.30420856593753,False,False
2024-10-31 12:00:00+03:00,269.9458832117033,1.0,269.9458832117033,281.30420856593753,False,False
2024-10-31 16:00:00+03:00,269.9458832117033,1.0,269.9458832117033,281.30420856593753,False,False
2024-11-01 08:00:00+03:00,269.9458832117033,1.0,269.9458832117033,281.30420856593753,False,False
2024-11-01 12:00:00+03:00,269.9458832117033,1.0,269.9458832117033,280.92018917232133,False,False
2024-11-01 16:00:00+03:00,269.9458832117033,1.0,269.9458832117033,280.3656702550892,False,False
2024-11-04 08:00:00+03:00,269.9458832117033,1.0,269.9458832117033,279.39160322958026,False,False
2024-11-04 12:00:00+03:00,277.75244290662226,-1.0,269.9458832117033,277.75244290662226,False,True
2024-11-04 16:00:00+03:00,276.53969861596005,-1.0,259.96030138403995,276.53969861596005,False,False
2024-11-05 08:00:00+03:00,276.53969861596005,-1.0,262.664271245636,276.53969861596005,False,False
2024-11-05 12:00:00+03:00,276.53969861596005,-1.0,262.664271245636,276.53969861596005,False,False
2024-11-05 16:00:00+03:00,276.53969861596005,-1.0,263.16555970896513,276.53969861596005,False,False
2024-11-06 08:00:00+03:00,264.1115037380686,1.0,264.1115037380686,276.53969861596005,True,False
2024-11-06 12:00:00+03:00,267.7128533642618,1.0,267.7128533642618,289.7871466357382,False,False
2024-11-06 16:00:00+03:00,269.11656802783557,1.0,269.11656802783557,289.7871466357382,False,False
2024-11-07 08:00:00+03:00,269.11656802783557,1.0,269.11656802783557,287.77008877494796,False,False
2024-11-07 12:00:00+03:00,269.11656802783557,1.0,269.11656802783557,287.15557989745315,False,False
2024-11-07 16:00:00+03:00,269.11656802783557,1.0,269.11656802783557,287.15557989745315,False,False
2024-11-08 08:00:00+03:00,273.2052302830629,1.0,273.2052302830629,287.15557989745315,False,False
2024-11-08 12:00:00+03:00,276.5722072547566,1.0,276.5722072547566,300.4277927452434,False,False
2024-11-08 16:00:00+03:00,277.66498652928095,1.0,277.66498652928095,300.33501347071905,False,False
2024-11-11 08:00:00+03:00,278.4484878763529,1.0,278.4484878763529,300.33501347071905,False,False
2024-11-11 12:00:00+03:00,278.4484878763529,1.0,278.4484878763529,298.5588609112824,False,False
2024-11-11 16:00:00+03:00,278.4484878763529,1.0,278.4484878763529,298.5588609112824,False,False
2024-11-12 08:00:00+03:00,278.58732266186126,1.0,278.58732266186126,298.5588609112824,False,False
2024-11-12 12:00:00+03:00,278.58732266186126,1.0,278.58732266186126,297.82140960432486,False,False
