datetime,adx,plus_di,minus_di,dx,trend_strength,trend_direction,di_bullish_cross,di_bearish_cross
2024-10-15 08:00:00+03:00,0.0,0.0,0.0,0.0,weak,neutral,False,False
2024-10-15 12:00:00+03:00,7.142857142857142,5.2909767242840875,0.0,100.0,weak,bullish,True,False
2024-10-15 16:00:00+03:00,13.775510204081632,4.848911039405092,0.0,100.0,weak,bullish,False,False
2024-10-16 08:00:00+03:00,19.934402332361515,10.398470848620464,0.0,100.0,weak,bullish,False,False
2024-10-16 12:00:00+03:00,25.653373594335694,9.837559867063757,0.0,100.0,strong,bullish,False,False
2024-10-16 16:00:00+03:00,30.963846909026003,16.945814248717486,0.0,100.0,strong,bullish,False,False
2024-10-17 08:00:00+03:00,35.89500070123843,17.61221129779221,0.0,100.0,strong,bullish,False,False
2024-10-17 12:00:00+03:00,38.62846890762146,16.059702910285804,2.382390621654594,74.1635555906008,strong,bullish,False,False
2024-10-17 16:00:00+03:00,41.16668938497713,15.164808520907027,2.249636733706777,74.16355559060081,very_strong,bullish,False,False
2024-10-18 08:00:00+03:00,43.862243376389195,17.608298826094035,2.0762862047999264,78.90444526474599,very_strong,bullish,False,False
2024-10-18 12:00:00+03:00,46.19909245325171,16.49605087824984,2.188087226486353,76.57813045246438,very_strong,bullish,False,False
2024-10-18 16:00:00+03:00,43.054661267860375,14.225672500273795,13.619468232838424,2.177055857773059,very_strong,bullish,False,False
2024-10-21 08:00:00+03:00,40.999270634805576,13.052234258772286,17.40066189324156,14.279192405093177,very_strong,bearish,False,True
2024-10-21 12:00:00+03:00,38.841150687730405,13.279278416493401,16.49007974273185,10.785591375753096,strong,bearish,False,False
2024-10-21 16:00:00+03:00,38.16568471082341,11.934161723716523,21.866301882362666,29.384627011032464,strong,bearish,False,False
2024-10-22 08:00:00+03:00,37.96006646355483,11.092401595523226,23.189447829115196,35.28702924906322,strong,bearish,False,False
2024-10-22 12:00:00+03:00,38.45121327990364,9.41606160490185,24.722443257072676,44.83612189243816,strong,bearish,False,False
2024-10-22 16:00:00+03:00,38.90727818079896,8.858592048036984,23.258772981172775,44.83612189243815,strong,bearish,False,False
2024-10-23 08:00:00+03:00,38.54544539143744,10.610435142566647,21.465425853408664,33.84161912973758,strong,bearish,False,False
2024-10-23 12:00:00+03:00,39.51441065552682,9.255408398558986,29.39814666302455,52.11095908868871,strong,bearish,False,False
2024-10-23 16:00:00+03:00,41.025775789961294,8.00637474523655,32.71110244500185,60.67352253760949,very_strong,bearish,False,False
2024-10-24 08:00:00+03:00,42.42918627193616,7.477322758289762,30.549590612940214,60.673522537609486,very_strong,bearish,False,False
2024-10-24 12:00:00+03:00,43.73235314805568,7.26765630641254,29.692970606399015,60.673522537609486,very_strong,bearish,False,False
2024-10-24 16:00:00+03:00,45.10122524139746,7.040866755337517,30.911771712556057,62.896562454840605,very_strong,bearish,False,False
2024-10-25 08:00:00+03:00,46.3723207566434,6.8537290687167856,30.09017436543248,62.8965624548406,very_strong,bearish,False,False
2024-10-25 12:00:00+03:00,47.67323391920658,6.496147479488077,30.189814658503206,64.585105032528,very_strong,bearish,False,False
2024-10-25 16:00:00+03:00,47.00492880533377,12.054488975904244,27.030774753859838,38.31696232498721,very_strong,bearish,False,False
2024-10-28 08:00:00+03:00,45.22407427800413,16.268351939064658,25.484428793098658,22.072965422718784,very_strong,bearish,False,False
2024-10-28 12:00:00+03:00,43.57042364548375,16.197074313047754,25.372772148862484,22.072965422718774,very_strong,bearish,False,False
2024-10-30 08:00:00+03:00,41.22672787851658,19.304960891985047,23.959664779263303,10.758682907943323,very_strong,bearish,False,False
2024-10-30 12:00:00+03:00,39.05043895204706,18.72107286382074,23.234992944820473,10.758682907943315,strong,bearish,False,False
2024-10-30 16:00:00+03:00,36.84503361969639,19.241163610966552,22.667062301239543,8.174764299137681,strong,bearish,False,False
2024-10-31 08:00:00+03:00,34.47173774947403,19.830943494763833,21.320157152134257,3.6188914365834326,strong,bearish,False,False
2024-10-31 12:00:00+03:00,32.26796301283899,18.874746823293037,20.29215445980205,3.6188914365834246,strong,bearish,False,False
2024-10-31 16:00:00+03:00,30.498251167480486,18.2271513673815,21.179496298373294,7.49199717781994,strong,bearish,False,False
2024-11-01 08:00:00+03:00,28.66692977361157,21.286174639498206,19.313148368387502,4.859751653315693,strong,bullish,True,False
2024-11-01 12:00:00+03:00,26.966417050733295,19.540852402314115,17.72960093028489,4.859751653315674,strong,bullish,False,False
2024-11-01 16:00:00+03:00,25.387369522346322,18.616211574569387,16.890665527557985,4.859751653315682,strong,bullish,False,False
2024-11-04 08:00:00+03:00,24.344622116198167,17.06980486272197,21.198540622188233,10.788905836272141,strong,bearish,False,True
2024-11-04 12:00:00+03:00,24.116882532620632,15.628065969514434,24.01507512084673,21.15626794611266,strong,bearish,False,False
2024-11-04 16:00:00+03:00,24.09461054194739,14.928553059337865,24.256610502012485,23.805074663195224,strong,bearish,False,False
2024-11-05 08:00:00+03:00,23.005062863764888,18.625936257822524,22.238760856159022,8.840943047392361,strong,bearish,False,False
2024-11-05 12:00:00+03:00,21.494888287730877,19.97175229438815,20.72986833178644,1.8626187992886922,strong,bearish,False,False
2024-11-05 16:00:00+03:00,20.02205240812638,20.133997286648125,19.784635016014818,0.8751859732679302,strong,bullish,True,False
2024-11-06 08:00:00+03:00,20.052423850779242,24.21860989159104,15.99585638762089,20.447252605266424,strong,bullish,False,False
2024-11-06 12:00:00+03:00,20.56796943765254,25.316887576411894,14.467626024411222,27.270062067005405,strong,bullish,False,False
