datetime,adx,plus_di,minus_di,dx,trend_strength,trend_direction,di_bullish_cross,di_bearish_cross
2022-07-04 00:00:00+03:00,0.0,0.0,0.0,0.0,weak,neutral,False,False
2022-07-05 00:00:00+03:00,7.142857142857142,0.0,6.5326466812413875,100.0,weak,bearish,False,True
2022-07-06 00:00:00+03:00,10.931884095832977,1.4673461783488313,5.904258759909518,60.189234484518835,weak,bearish,False,False
2022-07-07 00:00:00+03:00,10.429638677281151,5.916105153547146,5.471921084998351,3.900448236107394,weak,bullish,True,False
2022-07-08 00:00:00+03:00,11.516151565179884,8.783838569106777,5.198621321680465,25.64081910786341,weak,bullish,False,False
2022-07-13 00:00:00+03:00,11.74980741516774,8.034741849154916,10.823350910694769,14.78733346500986,weak,bearish,False,True
2022-07-14 00:00:00+03:00,13.799460158627276,6.880313633187937,16.225411744237892,40.44494582360122,weak,bearish,False,False
2022-07-18 00:00:00+03:00,15.702709134696843,6.3621887089422975,15.003550259568573,40.444945823601216,weak,bearish,False,False
2022-07-19 00:00:00+03:00,16.26401617071976,8.78309751103767,14.197575676174385,23.56100763901765,weak,bearish,False,False
2022-07-20 00:00:00+03:00,16.083994241372455,10.098881710843179,13.317107111489296,13.743709159857506,weak,bearish,False,False
2022-07-21 00:00:00+03:00,16.128930219644644,9.54131042565797,13.370600545557386,16.71309793718307,weak,bearish,False,False
2022-07-22 00:00:00+03:00,16.04883498105017,9.463107686903252,12.805018261875697,15.007596879322014,weak,bearish,False,False
2022-07-25 00:00:00+03:00,15.313584576964269,13.318856262844344,11.869200637926856,5.755329323847539,weak,bullish,True,False
2022-07-26 00:00:00+03:00,16.51559902655867,20.5600560271496,10.558118645599967,32.141786871285895,weak,bullish,False,False
2022-07-27 00:00:00+03:00,18.145086624595425,21.636032823401834,9.421567607279204,39.328425399073204,weak,bullish,False,False
2022-07-28 00:00:00+03:00,19.91199374877126,21.97588727619522,8.785048509357377,42.88178636305709,weak,bullish,False,False
2022-07-29 00:00:00+03:00,22.009701064196133,23.363163560366786,7.9379883838805965,49.279896164719496,strong,bullish,False,False
2022-08-01 00:00:00+03:00,24.81833603732706,29.664038862043743,7.110188190042345,61.33059068802911,strong,bullish,False,False
2022-08-02 00:00:00+03:00,27.426354226662923,27.64984643409423,6.627405407823031,61.33059068802912,strong,bullish,False,False
2022-08-03 00:00:00+03:00,29.452447592379706,26.174501165387696,7.427427126703766,55.79166134669787,strong,bullish,False,False
2022-08-04 00:00:00+03:00,31.887466606474234,30.56527751311709,6.813676039555986,63.542713789703086,strong,bullish,False,False
2022-08-05 00:00:00+03:00,33.47101700416029,28.756314425787217,8.575689037568095,54.05717217407901,strong,bullish,False,False
2022-08-08 00:00:00+03:00,35.5798445099595,33.92300249823863,7.701691895598363,62.99460208534919,strong,bullish,False,False
2022-08-09 00:00:00+03:00,37.6301902131115,33.4168497801966,7.264787600159962,64.28468435408737,strong,bullish,False,False
2022-08-10 00:00:00+03:00,40.08872869828049,38.38700118022578,6.236145164868075,72.04972900547737,very_strong,bullish,False,False
2022-08-11 00:00:00+03:00,43.080525758782485,50.0841164589503,4.961271793779313,81.97388754530843,very_strong,bullish,False,False
2022-08-12 00:00:00+03:00,45.85862302924862,45.56447143931776,4.513561243226295,81.97388754530843,very_strong,bullish,False,False
2022-08-15 00:00:00+03:00,47.630485502551835,42.07397744460773,7.232033725363591,70.6646976554936,very_strong,bullish,False,False
2022-08-16 00:00:00+03:00,48.021104090312036,36.11510469396001,11.063610146643313,53.09914573119462,very_strong,bullish,False,False
2022-08-17 00:00:00+03:00,48.83847469969123,39.17058811214866,9.95713505167361,59.464292621620785,very_strong,bullish,False,False
2022-08-18 00:00:00+03:00,47.48394416460897,32.97318238588684,17.803595901542003,29.875047208539566,very_strong,bullish,False,False
2022-08-19 00:00:00+03:00,46.226165810604016,30.145303628879947,16.276706259556615,29.875047208539574,very_strong,bullish,False,False
2022-08-22 00:00:00+03:00,45.41697355701205,30.402828774137813,14.672631594331918,34.897474260316514,very_strong,bullish,False,False
2022-08-23 00:00:00+03:00,45.046833559029665,32.46789592305941,13.837081832470824,40.235013585258656,very_strong,bullish,False,False
2022-08-24 00:00:00+03:00,44.06336752869334,30.06535498725382,15.738639877566658,31.27830913432121,very_strong,bullish,False,False
2022-08-25 00:00:00+03:00,43.395436117907856,30.872561460630358,14.96223624485732,34.71232777769659,very_strong,bullish,False,False
2022-08-26 00:00:00+03:00,42.54201859107062,29.157579638043217,15.206230262788143,31.447590742186534,very_strong,bullish,False,False
2022-08-29 00:00:00+03:00,41.668578161420584,27.71357942045944,14.820009868220415,30.313852575970106,very_strong,bullish,False,False
2022-08-31 00:00:00+03:00,40.52408967320505,26.21204384010272,15.51168508318208,25.645739326403017,very_strong,bullish,False,False
2022-09-01 00:00:00+03:00,38.97042640294894,24.81411167243566,16.970052479311466,18.772803889619535,strong,bullish,False,False
2022-09-02 00:00:00+03:00,38.25078744678641,27.69499016088506,15.277796693143612,28.895481016673564,strong,bullish,False,False
2022-09-05 00:00:00+03:00,37.629127524808524,25.232447791482688,13.722280531867751,29.54754853909597,strong,bullish,False,False
2022-09-06 00:00:00+03:00,37.682253647340865,28.009239237143532,12.47446906909273,38.372893240261206,strong,bullish,False,False
2022-09-07 00:00:00+03:00,37.59555227833449,26.092821754601786,12.147261901060709,36.46843448125159,strong,bullish,False,False
2022-09-08 00:00:00+03:00,38.4283690723622,31.660809576804176,10.764318225556508,49.254987394722505,strong,bullish,False,False
